23709|CPSC|021|B|Intro to Computer Science-Lab|0||25|New hall, Tia|Lab|T|2:45pm - 4:15pm|SCI 240|$||
24466|CPSC|021|C|Intro to Computer Science-Lab|0||25|Mauskop, David|Lab|W|1:15pm - 2:45pm|SCI 240|$||
24646|CPSC|021|D|Intro to Computer Science-Lab|0||25|Mauskop, David|Lab|W|3:00pm - 4:30pm|SCI 240|$||
24467|CPSC|031|01|Intro to Computer Systems|1|NS, NSEP|48|Gagne, Martin|Course|TR|11:20am - 12:35pm|SCI 199|$|Students must sign up for one Lab A-C below .|
24468|CPSC|031|A|Intro to Computer Systems-Lab|0||25|Gagne, Martin|Lab|W|9:50am - 11:20am|CLOTHR 016|$||
24647|CPSC|031|B|Intro to Computer Systems-Lab|0||25|Gagne, Martin|Lab|W|1:15pm - 2:45pm|CLOTHR 016|$||
25759|CPSC|031|C|Intro to Computer Systems- Lab|0||25|Gagne, Martin|Lab|W|3:00pm - 4:30pm|CLOTHR 016|$||
20067|CPSC|035|01|Data Structures and Algorithms|1|NS, NSEP|48|Brody, Joshua|Course|TR|1:15pm - 2:30pm|SCI 199|$|Students must sign up for one Lab A-C below .|
23711|CPSC|035|A|Data Structures/Algorithms-Lab|0||25|Danner, Andrew|Lab|M|8:50am - 10:20am|SCI 240|$||
24131|CPSC|035|B|Data Structures/Algorithms-Lab|0||25|Brody, Joshua|Lab|M|1:15pm - 2:45pm|SCI 240|$||
25760|CPSC|035|C|Data Structures/Algorithms-Lab|0||35|Brody, Joshua|Lab|M|3:00pm - 4:30pm|SCI 240|$||
25764|CPSC|046|01|Theory of Computation|1|NS|50|Fontes, Lila|Course|MWF|9:30am - 10:20am|SCI 181|$|Cross-listed w ith MATH 046. Students must register for one lab section A or B below .|
25765|CPSC|046|A|Theory of Computation- Lab|0||25|Fontes, Lila|Lab|W|1:15pm - 2:45pm|SCI 256|$||
25766|CPSC|046|B|Theory of Computation- Lab|0||25|Fontes, Lila|Lab|W|3:00pm - 4:30pm|SCI 256|$||
24621|CPSC|052|01|Prin of Computer Architecture|1|NS, NSEP|99|Nguyen, Son|Course|MW|7:00pm - 8:15pm|HICKS 212|$|Cross-listed w ith ENGR 025.|["MW ","8:20pm - 10:00pm ","HICKS 212 "]
25201|CPSC|063|01|Artificial Intelligence|1|NS, NSEP|50|Wiedenbeck, Bryce|Course|MWF|11:30am - 12:20pm|SCI 181|$|Students must sign up for one Lab A or B below . Eligible for COGS program.|
25202|CPSC|063|A|Artificial Intelligence- Lab|0||25|Wiedenbeck, Bryce|Lab|T|1:05pm - 2:35pm|CLOTHR 016|$||
25203|CPSC|063|B|Artificial Intelligence- Lab|0||25|Wiedenbeck, Bryce|Lab|T|2:45pm - 4:15pm|CLOTHR 016|$||
26137|CPSC|068|01|Bioinformatics|1|NS, NSEP|50|Soni, Ameet|Course|TR|9:55am - 11:10am|SCI 199|$|Cross-listed w ith BIOL 068. Eligible for COGS program. Students must register for one lab section A or B below .|
26139|CPSC|068|A|Bioinformatics- Lab|0||25|Soni, Ameet|Lab|M|1:15pm - 2:45pm|CLOTHR 016|$||
26141|CPSC|068|B|Bioinformatics- Lab|0||25|Soni, Ameet|Lab|M|3:00pm - 4:30pm|CLOTHR 016|$||
25221|CPSC|072|01|Computer Vision|1|NS, NSEP|30|Zucker, Matthew|Course|TR|11:20am - 12:35pm|HICKS 211|$|Cross-listed w ith ENGR 027. Eligible for COGS program. Students must register for lab section A below .|
26159|CPSC|072|A|Computer Vision- Lab|0||30|Zucker, Matthew|Lab||||$||
25767|CPSC|075|01|Compilers|1|NS, NSEP|50|Palmer, Zachary|Course|TR|11:20am - 12:35pm|SCI 181|$|Cross-listed w ith ENGR 023. Students must register for one lab section A or B below .|
25768|CPSC|075|A|Principles of CompDesign- Lab|0||25|Palmer, Zachary|Lab|R|1:05pm - 2:35pm|CLOTHR 016|$||
25770|CPSC|075|B|Principles of CompDesign- Lab|0||25|Palmer, Zachary|Lab|R|2:45pm - 4:15pm|CLOTHR 016|$||
26143|CPSC|091|01|Spec Tpcs in Computer Science|1|NS|50|STAFF|Course|TR|1:15pm - 2:30pm|SCI 105|$|Students must register for one lab section A1 or B1 below|
26146|CPSC|091|02|Spec Tpcs in Computer Science|1|NS|50|STAFF|Course|MWF|10:30am - 11:20am|SCI 181|$|Students must register for one lab section 2A or 2B below .|
26144|CPSC|091|1A|Spec Tpcs- Lab|0||25|STAFF|Lab|F|2:15pm - 3:45pm|SCI 256|$||
26145|CPSC|091|1B|Spec Tpcs- Lab|0||25|STAFF|Lab|F|4:00pm - 5:30pm|SCI 256|$||
26147|CPSC|091|2A|Spec Tpcs- Lab|0||25|STAFF|Lab|R|1:05pm - 2:35pm|SCI 240|$||
26148|CPSC|091|2B|Spec Tpcs- Lab|0||25|STAFF|Lab|R|2:45pm - 4:15pm|SCI 240|$||
21107|CPSC|093|A|Dir Rdg or Rsch Project|0.5||10|STAFF|Directed Rdg||||$|Credit range .5 - 1. See Dept Admin Asst to register.|
26015|CPSC|180|A|Senior Honors Thesis|1|NS|5|STAFF|Thesis||||$|See Dept Admin Asst to register.|
25880|CPSC|199|A|Senior Honors Study|1|NS|5|STAFF|Senior Honors||||$|See Dept Admin Asst to register.|
